quad_ref_x,quad_ref_y,quad_actual_x,quad_actual_y,payload_ref_x,payload_ref_y,payload_actual_x,payload_actual_y
-4.57074,-1.80813,-4.32194,-2.31054,-4.64942,-1.83926,-4.52362,-2.18885
-4.56023,-1.83448,-4.30933,-2.33382,-4.63873,-1.86606,-4.51043,-2.21683
-4.55104,-1.85715,-4.30299,-2.34545,-4.62939,-1.88912,-4.49707,-2.24479
-4.54214,-1.8788,-4.28635,-2.37559,-4.62034,-1.91115,-4.48353,-2.27274
-4.53419,-1.89793,-4.27341,-2.39871,-4.61224,-1.9306,-4.46984,-2.30067
-4.52585,-1.91773,-4.2669,-2.41024,-4.60376,-1.95074,-4.45597,-2.32857
-4.51621,-1.94033,-4.25379,-2.43327,-4.59395,-1.97373,-4.44195,-2.35644
-4.50517,-1.96581,-4.24057,-2.45624,-4.58273,-1.99965,-4.43204,-2.37592
-4.49634,-1.98593,-4.22456,-2.48373,-4.57374,-2.02012,-4.42206,-2.39538
-4.48658,-2.00787,-4.2111,-2.50657,-4.56382,-2.04244,-4.40766,-2.42314
-4.47481,-2.03398,-4.19343,-2.53617,-4.55184,-2.06899,-4.39604,-2.4453
-4.46651,-2.05213,-4.19069,-2.54072,-4.5434,-2.08746,-4.38138,-2.47295
-4.45589,-2.07509,-4.17142,-2.57247,-4.5326,-2.11081,-4.37103,-2.49226
-4.44537,-2.09753,-4.15752,-2.59507,-4.5219,-2.13364,-4.35163,-2.52804
-4.43174,-2.12619,-4.14913,-2.6086,-4.50803,-2.16279,-4.34109,-2.54725
-4.42442,-2.14138,-4.14351,-2.61761,-4.50058,-2.17825,-4.32134,-2.58281
-4.4135,-2.16379,-4.1294,-2.64009,-4.48948,-2.20104,-4.30292,-2.6155
-4.40269,-2.1857,-4.1223,-2.65131,-4.47848,-2.22333,-4.29053,-2.63721
-4.39174,-2.20762,-4.10801,-2.67368,-4.46734,-2.24563,-4.28275,-2.65075
-4.38044,-2.22996,-4.09362,-2.696,-4.45585,-2.26835,-4.26081,-2.6885
-4.3686,-2.25307,-4.08202,-2.7138,-4.44381,-2.29185,-4.24976,-2.70729
-4.35797,-2.27356,-4.06742,-2.736,-4.43299,-2.3127,-4.24183,-2.72068
-4.34685,-2.29474,-4.05417,-2.75593,-4.42169,-2.33424,-4.22908,-2.74203
-4.33434,-2.3183,-4.03636,-2.78242,-4.40895,-2.35821,-4.21466,-2.76596
-4.32318,-2.33903,-4.03188,-2.78903,-4.39761,-2.3793,-4.20499,-2.78184
-4.31113,-2.36117,-4.02137,-2.80442,-4.38535,-2.40182,-4.19367,-2.80032
-4.29784,-2.38528,-4.00322,-2.83074,-4.37183,-2.42634,-4.17251,-2.83444
-4.28357,-2.41081,-3.98641,-2.85478,-4.35731,-2.45232,-4.15612,-2.86052
-4.2762,-2.42385,-3.97409,-2.87222,-4.34982,-2.46558,-4.14789,-2.8735
-4.26372,-2.44575,-3.957,-2.89612,-4.33712,-2.48785,-4.1297,-2.90193
-4.24876,-2.47163,-3.95544,-2.89829,-4.32191,-2.51418,-4.11308,-2.92759
-4.23887,-2.48857,-3.95074,-2.90479,-4.31184,-2.53141,-4.10306,-2.94291
-4.22578,-2.51073,-3.93816,-2.9221,-4.29853,-2.55395,-4.08293,-2.97336
-4.21413,-2.53023,-3.9255,-2.93937,-4.28668,-2.57379,-4.07451,-2.98597
-4.20122,-2.55161,-3.90633,-2.96519,-4.27355,-2.59554,-4.0576,-3.01106
-4.18807,-2.57314,-3.89828,-2.97593,-4.26017,-2.61743,-4.04061,-3.03596
-4.1753,-2.59381,-3.87881,-3.00164,-4.24718,-2.63846,-4.02526,-3.05821
-4.15942,-2.6192,-3.87063,-3.01232,-4.23102,-2.66429,-4.02184,-3.06313
-4.14921,-2.63535,-3.85746,-3.02939,-4.22064,-2.68071,-4.0167,-3.0705
-4.13533,-2.65707,-3.84086,-3.05068,-4.20652,-2.70281,-4.00126,-3.0925
-4.12078,-2.67958,-3.82242,-3.07403,-4.19172,-2.72571,-3.98403,-3.11676
-4.10855,-2.69829,-3.81397,-3.08462,-4.17928,-2.74474,-3.9702,-3.13602
-4.09597,-2.71736,-3.80036,-3.10154,-4.16648,-2.76414,-3.95285,-3.15993
-4.08112,-2.7396,-3.77975,-3.12685,-4.15138,-2.78676,-3.93544,-3.18364
-4.06863,-2.75812,-3.76588,-3.14367,-4.13867,-2.8056,-3.92671,-3.19541
-4.05461,-2.77869,-3.74839,-3.16466,-4.12441,-2.82653,-3.91271,-3.21414
-4.04049,-2.79918,-3.72717,-3.18976,-4.11005,-2.84736,-3.89164,-3.24199
-4.02641,-2.8194,-3.7093,-3.21061,-4.09572,-2.86794,-3.87579,-3.26268
-4.01233,-2.83939,-3.6985,-3.22309,-4.08141,-2.88827,-3.86342,-3.27865
-3.99689,-2.8611,-3.67307,-3.25212,-4.06569,-2.91035,-3.84926,-3.29677
-3.97931,-2.8855,-3.6584,-3.26865,-4.04781,-2.93517,-3.82795,-3.32369
-3.96713,-2.90222,-3.64363,-3.28514,-4.03542,-2.95218,-3.81013,-3.34588
-3.95449,-2.91941,-3.62689,-3.30364,-4.02257,-2.96967,-3.79226,-3.36785
-3.93911,-2.94014,-3.60627,-3.32616,-4.00692,-2.99075,-3.77434,-3.3896
